accessGroup,author,category,changeDate,enabled,hitCount,name,severity,valid,targets,detailPage
"All","ESET","Persistence","2023-08-02T16:12:50Z",false,0,".NET appx_process was enabled [A0111]",2,true,"All",https://localhost/console/rule/23/details
"All","ESET","Persistence","2023-08-02T16:12:50Z",false,0,".NET profiler registry modified [A0109a]",2,true,"All",https://localhost/console/rule/20/details
"All","ESET","Persistence","2023-08-02T16:12:50Z",false,0,".NET winappxrt.dll file modified [A0110]",2,true,"All",https://localhost/console/rule/22/details
"All","ESET","File system","2023-08-02T16:12:50Z",false,0,"Accessibility Features file modified [A0304]",2,true,"All",https://localhost/console/rule/99/details
"All","ESET","Discovery","2023-08-02T16:12:55Z",false,0,"Account Discovery - Domain [F1100b]",1,true,"All",https://localhost/console/rule/888/details
"All","ESET","Discovery","2023-08-02T16:12:55Z",false,0,"Account Discovery - Local [F1100a]",1,true,"All",https://localhost/console/rule/887/details
"All","ESET","Discovery","2023-08-02T16:12:53Z",false,0,"Account discovery via PowerShell [C1110a]",1,true,"All",https://localhost/console/rule/450/details
"All","ESET","Persistence","2023-08-02T16:12:54Z",false,0,"Active Setup autostart registry modified by a compromised process [F0113]",2,true,"All",https://localhost/console/rule/739/details
"All","ESET","Persistence","2023-08-02T16:12:49Z",false,0,"Active Setup autostart registry modified by an unpopular process [A0100]",2,true,"All",https://localhost/console/rule/1/details
"All","ESET","Suspicious process creation and process manipulation","2023-08-02T16:12:55Z",false,0,"Admin share mapping [F0468]",1,true,"All",https://localhost/console/rule/855/details
"All","ESET","Suspicious system configuration / Removing evidence","2023-08-02T16:12:57Z",false,0,"Administrator account activated [F1005]",1,true,"All",https://localhost/console/rule/1226/details
"All","ESET","Suspicious system configuration / Removing evidence","2023-08-02T16:12:57Z",false,0,"Administrator account login [F1007]",1,true,"All",https://localhost/console/rule/1228/details
"All","ESET","File system","2023-08-02T16:12:50Z",false,0,"ADS written by unpopular process [A0300]",1,true,"All",https://localhost/console/rule/95/details
"All","ESET","File system","2023-08-02T16:12:54Z",false,0,"ADS wrote by compromised process [F0304]",1,true,"All",https://localhost/console/rule/758/details
"All","ESET","Incident","2023-08-02T16:12:55Z",true,0,"Advanced Memory Scanner Detection [I0106]",3,true,"All",https://localhost/console/rule/905/details
"All","ESET","Suspicious system configuration / Removing evidence","2023-08-02T16:12:56Z",false,0,"Allowed/denied host added/modified [L1013]",2,true,"All",https://localhost/console/rule/1005/details
"All","ESET","Communication","2023-08-02T16:12:57Z",false,0,"An uncommonly long DNS request [A0515]",2,true,"All",https://localhost/console/rule/1149/details
"All","ESET","Discovery","2023-08-02T16:12:54Z",false,0,"AntiVirus Enumeration via WMI query [E1119]",1,true,"All",https://localhost/console/rule/711/details
"All","ESET","Discovery","2023-08-02T16:12:54Z",false,0,"AntiVirus Enumeration via WMIC [E1120]",1,true,"All",https://localhost/console/rule/712/details
"All","ESET","Suspicious Process Creation and Process Manipulation","2023-08-02T16:12:53Z",false,0,"AnyDesk Remote Desktop Silent Installation [D0443]",2,true,"All",https://localhost/console/rule/512/details
"All","ESET","Persistence","2023-08-02T16:12:50Z",true,0,"AppCertDLLs registry was modified [A0101b]",3,true,"All",https://localhost/console/rule/3/details
"All","ESET","Persistence","2023-08-02T16:12:50Z",true,0,"AppInit_Dlls registry was modified [A0101a]",3,true,"All",https://localhost/console/rule/2/details
"All","ESET","Suspicious process creation and process manipulation","2023-08-02T16:12:56Z",false,0,"AppleScript was executed by osascript from an unpopular process [M0411]",2,true,"All",https://localhost/console/rule/1044/details
"All","ESET","Suspicious process creation and process manipulation","2023-08-02T16:12:57Z",false,0,"Application opened from the command line [M0401]",2,true,"All",https://localhost/console/rule/1258/details
"All","ESET","Suspicious process creation and process manipulation","2023-08-02T16:12:54Z",false,0,"Archive compression using C#.NET methods via PowerShell [E0447]",2,true,"All",https://localhost/console/rule/636/details
"All","ESET","Suspicious process creation and process manipulation","2023-08-02T16:12:54Z",false,0,"Archive compression via PowerShells Compress-Archive [E0446]",2,true,"All",https://localhost/console/rule/635/details
"All","ESET","File system","2023-08-02T16:12:57Z",false,0,"Archive Created by Utility [L0317]",1,true,"All",https://localhost/console/rule/1236/details
"All","ESET","Suspicious process creation and process manipulation","2023-08-02T16:12:57Z",false,0,"Archive Creation via tar [L0425]",1,true,"All",https://localhost/console/rule/1241/details
"All","ESET","Ransomware / Filecoders","2023-08-02T16:12:54Z",true,0,"Archive related encryption utility (PACRYPT) encrypting files [E0611]",3,true,"All",https://localhost/console/rule/691/details
"All","ESET","Ransomware / Filecoders","2023-08-02T16:12:54Z",true,0,"Archive Utility (7Zip) encrypting and deleting files [E0612]",3,true,"All",https://localhost/console/rule/692/details
